param-n build-real build-sys build-user build-and-refine-real build-and-refine-sys build-and-refine-user refine-real refine-sys refine-user to-constr-real to-constr-sys to-constr-user type-of-real type-of-sys type-of-user
1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
3 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 0. 0. 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
8 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
9 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
11 0. 0. 0. 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
12 0. 0. 0. 0.001 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
13 0. 0. 0. 0.002 0. 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
14 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 0. 0. 0. 0.002 0. 0.002 0. 0. 0. 0. 0. 0. 0. 0. 0.
16 0. 0. 0. 0.002 0.001 0. 0. 0. 0. 0.001 0.001 0. 0. 0. 0.
17 0. 0. 0. 0.003 0.001 0.001 0. 0. 0. 0.001 0. 0. 0. 0. 0.
18 0.001 0. 0.001 0.003 0. 0.003 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
19 0.001 0. 0.001 0.003 0. 0.003 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
20 0.001 0. 0.001 0.003 0. 0.003 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
21 0.001 0. 0.001 0.004 0.001 0.003 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
22 0.001 0.001 0. 0.004 0.002 0.002 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
23 0.001 0. 0.001 0.004 0.003 0.001 0. 0. 0. 0.002 0.002 0. 0.001 0.001 0.
24 0.001 0. 0.001 0.005 0.001 0.003 0. 0. 0. 0.002 0. 0.002 0.001 0.001 0.
25 0.001 0.001 0. 0.005 0.005 0. 0. 0. 0. 0.002 0.002 0. 0.001 0.001 0.
26 0.001 0.001 0. 0.005 0.005 0. 0. 0. 0. 0.002 0.002 0. 0.001 0.001 0.
27 0.001 0.001 0. 0.052 0.001 0.05 0. 0. 0. 0.05 0. 0.05 0. 0. 0.
28 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
29 0. 0. 0. 0.003 0. 0.003 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
30 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
31 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
32 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
33 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
34 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
35 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
36 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002
37 0.001 0. 0.001 0.005 0. 0.005 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
38 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.002 0. 0.002 0.001 0. 0.001
39 0.001 0. 0.001 0.006 0. 0.006 0. 0. 0. 0.003 0. 0.003 0.001 0. 0.001
40 0.001 0. 0.001 0.006 0. 0.006 0. 0. 0. 0.003 0. 0.003 0.001 0. 0.001
41 0.001 0. 0.001 0.006 0. 0.006 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
42 0.001 0. 0.001 0.007 0. 0.007 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
43 0.001 0. 0.001 0.007 0. 0.007 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
44 0.001 0. 0.001 0.007 0. 0.007 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
45 0.001 0. 0.001 0.007 0. 0.007 0. 0. 0. 0.003 0. 0.003 0.002 0. 0.002
46 0.001 0. 0.001 0.008 0. 0.008 0. 0. 0. 0.004 0. 0.004 0.002 0. 0.002
47 0.001 0. 0.001 0.008 0. 0.008 0. 0. 0. 0.004 0. 0.004 0.002 0. 0.002
48 0.001 0. 0.001 0.009 0. 0.009 0. 0. 0. 0.004 0. 0.004 0.002 0. 0.002
49 0.001 0. 0.001 0.009 0. 0.009 0. 0. 0. 0.004 0. 0.004 0.002 0. 0.002
50 0.001 0. 0.001 0.009 0. 0.009 0. 0. 0. 0.004 0. 0.004 0.003 0. 0.003
51 0.001 0. 0.001 0.01 0. 0.01 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
52 0.001 0. 0.001 0.01 0. 0.01 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
53 0.001 0. 0.001 0.01 0. 0.01 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
54 0.001 0. 0.001 0.011 0. 0.011 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
55 0.001 0. 0.001 0.011 0. 0.011 0. 0. 0. 0.005 0. 0.005 0.003 0. 0.003
56 0.001 0. 0.001 0.012 0. 0.012 0. 0. 0. 0.006 0. 0.006 0.003 0. 0.003
57 0.001 0. 0.001 0.012 0. 0.012 0. 0. 0. 0.006 0. 0.006 0.003 0. 0.003
58 0.001 0. 0.001 0.012 0. 0.012 0. 0. 0. 0.006 0. 0.006 0.004 0. 0.003
59 0.001 0. 0.001 0.013 0. 0.013 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
60 0.001 0. 0.001 0.013 0. 0.013 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
61 0.001 0. 0.001 0.014 0. 0.014 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
62 0.001 0. 0.001 0.013 0. 0.013 0. 0. 0. 0.008 0. 0.008 0.003 0. 0.003
63 0.001 0. 0.001 0.015 0. 0.015 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
64 0.001 0. 0.001 0.015 0. 0.015 0. 0. 0. 0.007 0. 0.007 0.004 0. 0.004
65 0.001 0. 0.001 0.017 0. 0.017 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
66 0.001 0. 0.001 0.016 0. 0.016 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
67 0.001 0. 0.001 0.016 0. 0.016 0. 0. 0. 0.008 0. 0.008 0.005 0. 0.005
68 0.002 0. 0.002 0.017 0. 0.017 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
69 0.001 0. 0.001 0.017 0. 0.017 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
70 0.001 0. 0.001 0.018 0. 0.018 0. 0. 0. 0.009 0. 0.009 0.006 0. 0.005
71 0.001 0. 0.001 0.018 0. 0.018 0. 0. 0. 0.009 0. 0.009 0.005 0. 0.005
72 0.001 0. 0.001 0.017 0. 0.017 0. 0. 0. 0.01 0. 0.01 0.004 0. 0.004
73 0.001 0. 0.001 0.019 0. 0.019 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
74 0.001 0. 0.001 0.021 0. 0.021 0. 0. 0. 0.01 0. 0.01 0.008 0. 0.008
75 0.001 0. 0.001 0.019 0. 0.019 0. 0. 0. 0.01 0. 0.01 0.006 0. 0.006
76 0.001 0. 0.001 0.02 0. 0.02 0. 0. 0. 0.01 0. 0.01 0.007 0. 0.007
77 0.001 0. 0.001 0.02 0. 0.02 0. 0. 0. 0.011 0. 0.011 0.006 0. 0.006
78 0.001 0. 0.001 0.024 0. 0.024 0. 0. 0. 0.011 0. 0.011 0.009 0. 0.009
79 0.001 0. 0.001 0.021 0. 0.021 0. 0. 0. 0.011 0. 0.011 0.007 0. 0.007
80 0.002 0. 0.002 0.021 0. 0.021 0. 0. 0. 0.013 0. 0.013 0.005 0. 0.005
81 0.002 0. 0.002 0.022 0. 0.022 0. 0. 0. 0.012 0. 0.012 0.007 0. 0.007
82 0.002 0. 0.002 0.025 0. 0.025 0. 0. 0. 0.015 0. 0.015 0.007 0. 0.007
83 0.002 0. 0.002 0.023 0. 0.023 0. 0. 0. 0.012 0. 0.012 0.007 0. 0.007
84 0.002 0. 0.002 0.024 0. 0.024 0. 0. 0. 0.013 0. 0.013 0.008 0. 0.008
85 0.002 0. 0.002 0.025 0. 0.025 0. 0. 0. 0.013 0. 0.013 0.009 0. 0.009
86 0.002 0. 0.002 0.025 0. 0.025 0. 0. 0. 0.013 0. 0.013 0.008 0. 0.008
87 0.002 0. 0.002 0.024 0.003 0.021 0. 0. 0. 0.014 0.003 0.01 0.007 0. 0.007
88 0.002 0. 0.002 0.027 0. 0.027 0. 0. 0. 0.014 0. 0.014 0.01 0. 0.01
89 0.002 0. 0.002 0.027 0. 0.027 0. 0. 0. 0.014 0. 0.014 0.009 0. 0.009
90 0.002 0. 0.002 0.026 0. 0.026 0. 0. 0. 0.015 0. 0.015 0.008 0. 0.008
91 0.002 0. 0.002 0.029 0. 0.029 0. 0. 0. 0.015 0. 0.015 0.01 0. 0.01
92 0.002 0. 0.002 0.028 0. 0.028 0. 0. 0. 0.015 0. 0.015 0.009 0. 0.009
93 0.002 0. 0.002 0.028 0. 0.028 0. 0. 0. 0.016 0. 0.016 0.009 0. 0.009
94 0.002 0. 0.002 0.03 0. 0.03 0. 0. 0. 0.017 0. 0.017 0.009 0. 0.009
95 0.002 0. 0.002 0.031 0.003 0.028 0. 0. 0. 0.016 0. 0.016 0.012 0.003 0.009
96 0.002 0. 0.002 0.03 0. 0.03 0.001 0. 0.001 0.016 0. 0.016 0.01 0. 0.01
97 0.002 0. 0.002 0.034 0. 0.034 0.001 0. 0.001 0.02 0. 0.02 0.01 0. 0.01
98 0.002 0. 0.002 0.03 0. 0.029 0. 0. 0. 0.017 0. 0.017 0.009 0. 0.009
99 0.002 0. 0.002 0.034 0. 0.034 0.001 0. 0.001 0.017 0. 0.017 0.012 0. 0.012
100 0.002 0. 0.002 0.035 0. 0.035 0. 0. 0. 0.018 0. 0.018 0.013 0. 0.013
101 0.005 0.004 0.001 0.108 0.012 0.096 0. 0. 0. 0.092 0.007 0.084 0.01 0. 0.01
102 0.002 0. 0.002 0.033 0. 0.033 0. 0. 0. 0.02 0. 0.02 0.009 0. 0.009
103 0.002 0. 0.002 0.039 0. 0.038 0.001 0. 0.001 0.019 0. 0.019 0.015 0. 0.015
104 0.002 0. 0.002 0.036 0. 0.036 0. 0. 0. 0.019 0. 0.019 0.013 0. 0.013
105 0.002 0. 0.002 0.04 0. 0.04 0.001 0. 0.001 0.02 0. 0.02 0.016 0. 0.016
106 0.002 0. 0.002 0.038 0. 0.037 0.001 0. 0.001 0.02 0. 0.02 0.012 0. 0.012
107 0.003 0.003 0. 0.039 0.003 0.036 0.001 0. 0.001 0.02 0. 0.02 0.013 0. 0.013
108 0.004 0. 0.004 0.041 0. 0.041 0.001 0. 0.001 0.021 0. 0.021 0.013 0. 0.013
109 0.002 0. 0.002 0.041 0. 0.041 0.001 0. 0.001 0.022 0. 0.022 0.014 0. 0.014
110 0.002 0. 0.002 0.042 0. 0.042 0.001 0. 0.001 0.023 0. 0.023 0.014 0. 0.014
111 0.002 0. 0.002 0.043 0. 0.043 0.001 0. 0.001 0.023 0. 0.023 0.015 0. 0.015
112 0.003 0. 0.003 0.043 0. 0.043 0.001 0. 0.001 0.024 0. 0.024 0.014 0. 0.014
113 0.002 0. 0.002 0.044 0. 0.044 0.002 0. 0.002 0.024 0. 0.023 0.015 0. 0.015
114 0.003 0. 0.003 0.044 0. 0.044 0.001 0. 0.001 0.023 0. 0.023 0.014 0. 0.014
115 0.003 0. 0.003 0.046 0. 0.046 0.002 0. 0.002 0.024 0. 0.024 0.016 0. 0.016
116 0.002 0. 0.002 0.045 0. 0.045 0. 0. 0. 0.024 0. 0.024 0.017 0. 0.017
117 0.002 0. 0.002 0.053 0. 0.051 0.002 0. 0.002 0.025 0. 0.025 0.021 0. 0.02
118 0.002 0. 0.002 0.043 0. 0.043 0. 0. 0. 0.026 0. 0.026 0.012 0. 0.012
119 0.003 0. 0.003 0.053 0. 0.053 0.001 0. 0.001 0.03 0. 0.03 0.017 0. 0.017
120 0.003 0. 0.003 0.046 0. 0.046 0.001 0. 0.001 0.026 0. 0.026 0.015 0. 0.015
121 0.003 0. 0.003 0.052 0. 0.052 0.002 0. 0.002 0.029 0. 0.029 0.017 0. 0.017
122 0.003 0.003 0. 0.052 0.003 0.048 0.002 0. 0.002 0.027 0. 0.027 0.018 0. 0.018
123 0.003 0. 0.003 0.048 0. 0.048 0. 0. 0. 0.031 0. 0.031 0.013 0. 0.013
124 0.003 0. 0.003 0.055 0. 0.055 0.002 0. 0.002 0.031 0. 0.031 0.018 0. 0.018
125 0.003 0. 0.003 0.051 0. 0.051 0.001 0. 0.001 0.029 0. 0.029 0.017 0. 0.017
126 0.003 0. 0.003 0.056 0. 0.056 0. 0. 0. 0.031 0. 0.031 0.021 0. 0.021
127 0.003 0. 0.003 0.059 0. 0.059 0.002 0. 0.002 0.035 0. 0.035 0.019 0. 0.019
128 0.003 0. 0.003 0.053 0. 0.052 0.001 0. 0.001 0.031 0. 0.031 0.017 0. 0.016
